
name,birth
Albert Einstein,14 March 1879
George Washington,"February 22, 1732"
Plato,428/427 or 424/423 BC
John Adams,"October 30, 1735"
Karl Marx,5 May 1818
Confucius,551 
Nicholas Lokhoff or Nicolas Lokhoff,"October 20, 1872"
Edurne Pasaban Lizarribar,1 August 1973
Geert Hofstede,2 October 1928
Hans Peter Luhn,1 July 1896
Josiah Willard Gibbs,"February 11, 1839"
Dionysios Solomos,8 April 1798
Jiawei Han,"August 10, 1949"
Lawrence Lessig,"June 3, 1961"
Hans-Peter Kriegel,1 October 1948
Tamara Vrooman,June 1968 (age 52)
Julius Schnorr von Carolsfeld,26 March 1794
Narendra Modi,17 September 1950
Manmohan Singh,26 September 1932
Lilburn Boggs,"December 14, 1796"
Ken Thompson,"February 4, 1943"
Mountain Chief,1848
Zachary Taylor,"November 24, 1784"
Justin Welby,6 January 1956
Geoffrey Smith,1958/1959 (age 61–62)
John Wesley,28 June  [
Jesus, 4 BC
George Eustice,28 September 1971
Victoria Prentis,24 March 1971
The Baroness Evans of Bowes Park,29 November 1975
Moon Jae-in,"January 24, 1953"
Sir Tony Baldry,10 July 1950
Boris Johnson,19 June 1964
The Lord Bruce of Bennachie,17 November 1944
Scott Morrison,13 May 1968
Yoo Il-ho,30 March 1955
Choi Kyoung-hwan,22 June 1955
Michel Temer,23 September 1940
Malaysia,31 August 1963
José Alencar,17 October 1931
Charles E. Barber,"November 16, 1840"
Sir William Deane,4 January 1931
John Howard,26 July 1939
Gaganchandra Dam,1845?
Muhammad,"Monday, 12 "
Martin Luther King Jr.,"January 15, 1929"
Immanuel Kant,22 April 1724
Sinéad Cusack,18 February 1948
Salva Kiir Mayardit,"13 September, 1951 (age 69)"
Taban Deng Gai, 1950
E. H. Moore,"January 26, 1862"
Temporal range: ,(
Riek Machar,"November 26, 1952"
Wacław Sierpiński,14 March 1882
Soumya Swaminathan,2 May 1959
Paul Erdős,26 March 1913
Alfred Nobel,21 October 1833
Louis Braille,4 January 1809
Anders Celsius,27 November 1701
Karol Pollak,"November 15, 1859"
Max Weber,21 April 1864
Mohammad Abdul Hamid,1 January 1944
Mazlum Jananeta,12 December 1880
Muhammad Ali Jinnah,25 December 1876
Mohammad Ali Bogra,19 October 1909
Maulvi Tamizuddin Khan,March 1889
Huseyn Shaheed Suhrawardy,8 September 1892
George Fenton,19 October 1949
Angela Lansbury,"October 16, 1925"
Peter Pullen Shaw,24 June 1918
Syd Cassyd,"December 28, 1908"
Klaus Landsberg,"July 7, 1916"
Sir Victor Wilson,30 June 1877
Roy Cameron ,11 March 1923
Isaac Newton,4 January 1643 [
Edward David Burt,23 November 1978
Sir Albert Markham,11 November 1841
